what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497050218585
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497050218616
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497050222563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497050225899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497050232162
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1497050232178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497050234881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497050316582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497050427128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051331574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051352735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051633323
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1497051633351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051658015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051661280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051662804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051684289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051686695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051691811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051701038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051713922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497051716034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497052078162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497052079768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497062081762
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1497062082152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497062082864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497062084297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497062084722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497070143737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497070146491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497070152546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1497070155657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497070156234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497070342113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497070342122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497070342139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497070342743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497070522079
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497071204092
