what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586338590
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498586345468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586361228
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498586365242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586371431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586375126
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498586385303
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498586386559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586393424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586394402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586397696
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586449770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586451964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586455086
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498586461364
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498586463165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586476207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586476944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586479827
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498586486900
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498586487854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586552761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586553544
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586556728
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498586564586
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498586565917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586569354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586570377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586575484
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498586578334
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498586579830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586582249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586583162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586587368
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498586641306
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498586643626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586698888
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586699652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586703552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586725621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586726646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586731411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586789202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586806029
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498586806060
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498586812531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586847488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586848778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586853361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1498586883114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586884096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498586887705
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498586889388
