what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1499455489291
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1499455489292
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1499455489345
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1499455489345
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1499455489366
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1499455489367
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1499455489368
os,sysinfo,,,"win32",1499455489371
arch,sysinfo,,,"x86_64",1499455489371
ws,sysinfo,,,"win32",1499455489371
locale,sysinfo,,,"en_CA",1499455489371
processors,sysinfo,,,"4",1499455489371
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1499455489371
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1499455489371
java.specification.name,sysinfo,,,"Java Platform API Specification",1499455489371
java.specification.vendor,sysinfo,,,"Oracle Corporation",1499455489371
java.specification.version,sysinfo,,,"1.7",1499455489371
java.vendor,sysinfo,,,"Oracle Corporation",1499455489371
java.version,sysinfo,,,"1.7.0_04",1499455489371
java.vm.info,sysinfo,,,"mixed mode",1499455489371
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1499455489371
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1499455489371
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1499455489371
java.vm.specification.version,sysinfo,,,"1.7",1499455489371
java.vm.vendor,sysinfo,,,"Oracle Corporation",1499455489371
java.vm.version,sysinfo,,,"23.0-b21",1499455489371
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1499455489472
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1499455490305
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201211091924,"org.eclipse.cdt.codan.ui.cxx",1499455490419
started,bundle,org.eclipse.cdt.make.core,7.1.2.201211091924,"org.eclipse.cdt.make.core",1499455490878
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201211091924,"org.eclipse.cdt.managedbuilder.core",1499455491084
started,bundle,org.eclipse.cdt.core,5.3.2.201211091924,"org.eclipse.cdt.core",1499455491231
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1499455491382
started,bundle,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui",1499455491621
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201211091924,"org.eclipse.cdt.make.ui",1499455491656
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201211091924,"org.eclipse.cdt.codan.core.cxx",1499455491845
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201211091924,"org.eclipse.cdt.codan.core",1499455491876
started,bundle,ch.hsr.ifs.cute.tdd,1.1.0.201204021108,"ch.hsr.ifs.cute.tdd",1499455491925
started,bundle,ch.hsr.ifs.cute.ui,4.0.2.201204021108,"ch.hsr.ifs.cute.ui",1499455491979
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201211091924,"org.eclipse.cdt.codan.checkers",1499455491998
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1499455501040
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201211091924,"org.eclipse.cdt.debug.core",1499455501482
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201211091924,"org.eclipse.cdt.debug.ui",1499455501512
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1499455501706
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1499455501908
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1499455505251
started,bundle,org.python.pydev.shared_ui,2.8.2.2013090511,"org.python.pydev.shared_ui",1499455505524
started,bundle,org.python.pydev.shared_core,2.8.2.2013090511,"org.python.pydev.shared_core",1499455505544
started,bundle,org.python.pydev.debug,2.8.2.2013090511,"org.python.pydev.debug",1499455505582
started,bundle,org.python.pydev.core,2.8.2.2013090511,"org.python.pydev.core",1499455505882
started,bundle,com.python.pydev.analysis,2.8.2.2013090511,"com.python.pydev.analysis",1499455506212
started,bundle,org.python.pydev,2.8.2.2013090511,"org.python.pydev",1499455506236
started,bundle,org.python.pydev.shared_interactive_console,2.8.2.2013090511,"org.python.pydev.shared_interactive_console",1499455506681
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201211091924,"org.eclipse.cdt.debug.mi.ui",1499455506702
started,bundle,org.eclipse.cdt.dsf,2.2.0.201211091924,"org.eclipse.cdt.dsf",1499455506865
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201211091924,"org.eclipse.cdt.dsf.gdb",1499455506872
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201211091924,"org.eclipse.cdt.dsf.gdb.ui",1499455506879
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201211091924,"org.eclipse.cdt.debug.mi.core",1499455506945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499455507018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499455519036
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1499455521389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499455522984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499455523833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499455529593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499455531630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499455643132
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499455645109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499455646197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499455649685
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1499455649717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499455653332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499455663412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499456144189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499456144704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499456151124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499456151683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499548749163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499548751311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499548752974
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499548753299
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1499548754360
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1499548755784
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1499548755828
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1499548755851
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1499548755910
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1499548755966
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1499548755994
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1499548755994
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1499548755994
stopped,bundle,org.eclipse.cdt,8.0.2.201211091924,"org.eclipse.cdt",1499548756023
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201211091924,"org.eclipse.cdt.doc.user",1499548756052
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1499655873981
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1499655873982
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1499655873983
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1499655873984
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1499655873985
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1499655873985
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1499655873986
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1499655873986
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1499655873987
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1499655873987
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1499655873988
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1499655873988
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1499655874047
